Date Accepted,Player,Team,Category,Time,Points
2021-11-27,doubledeuce,ayeessbee,70,00:58:13,84
2021-11-27,amahumahaba,mrspeedrun,16,00:16:52,574
2021-11-28,kagami,raccoonbilly,120,01:40:25,743
2021-11-28,bobt0ad,808sandbailey,16,00:16:34,735
2021-11-28,bluehavengaming,bluehavengaming,70,01:00:43,362
2021-11-29,raccoonbilly,raccoonbilly,70,00:53:15,55
2021-11-30,flikkaaa,felix_helix_tm,70,01:09:33,54
2021-11-30,cartersoft,thomkar,16,00:17:18,336
2021-11-30,lucinovic,badroenis,120,01:48:49,183
2021-11-30,curryinthehouse,ringo792,70,00:57:55,192
2021-11-30,itoxicnuk,fcbdaboss,16,00:17:59,749
2021-11-30,oatslice,pex,70,00:52:20,209
2021-11-30,ikori_o,drogie,70,00:47:48,497
2021-12-01,leysauce,bluehavengaming,16,00:16:40,1078
2021-12-01,widdit,widdit,16,00:16:17,903
2021-12-01,doubledeuce,ayeessbee,70,00:58:10,12
2021-12-01,seiozi,tabascoth,16,00:17:36,63
2021-12-01,pignickel,808sandbailey,70,01:03:33,74
2021-12-01,nicov2k,bootycheekman,16,00:16:55,343
2021-12-01,partitionpenguin,raccoonbilly,16,00:17:13,1631
2021-12-01,dentoriousred,raccoonbilly,16,00:17:30,231
2021-12-01,reallybadforyou,felix_helix_tm,120,02:13:13,417
2021-12-01,badroenis,badroenis,16,00:17:12,84
2021-12-01,zans,fcbdaboss,16,00:19:09,276
2021-12-01,geogringo,drogie,70,00:55:27,196
